iter	Logloss
0	0.682883078
1	0.6742517463
2	0.6684428537
3	0.6603528269
4	0.6552287284
5	0.6486179236
6	0.6436193032
7	0.6409282473
8	0.6360831571
9	0.6326074799
10	0.6248130692
11	0.6179238595
12	0.6125310122
13	0.6056448779
14	0.6020756177
15	0.5991076822
16	0.5932714866
17	0.5891587486
18	0.5841398007
19	0.5806679403
20	0.5780143339
21	0.5717374347
22	0.5688321067
23	0.5657606411
24	0.563402668
25	0.557877374
26	0.5542381009
27	0.5472345471
28	0.5458679132
29	0.5434146135
30	0.5392529341
31	0.5366341109
32	0.5311313738
33	0.5272311364
34	0.5240288657
35	0.5219744972
36	0.5188479731
37	0.5145381896
38	0.5128423709
39	0.5071442808
40	0.5041495584
41	0.5000378678
42	0.4989783767
43	0.4953702585
44	0.4932723485
45	0.4893981034
46	0.4853772003
47	0.4833196071
48	0.4795661807
49	0.4761371543
50	0.4727274649
51	0.468619696
52	0.4655055864
53	0.4622682728
54	0.4593126423
55	0.4570996134
56	0.4545500601
57	0.4526013672
58	0.4502863374
59	0.4459621064
60	0.4418695511
61	0.4348074432
62	0.4325554143
63	0.4264505198
64	0.4239458446
65	0.420066735
66	0.4146141426
67	0.411587622
68	0.4090794098
69	0.40587411
70	0.4037398479
71	0.4005132293
72	0.3976040279
73	0.3958097676
74	0.3926559299
75	0.3904653294
76	0.3862331746
77	0.3829283221
78	0.3800972961
79	0.3748875852
80	0.3721015606
81	0.3687147849
82	0.3648695846
83	0.3622087072
84	0.3601276857
85	0.3576432016
86	0.3540005209
87	0.3518096
88	0.3497205421
89	0.3455185353
90	0.3424874869
91	0.3384214611
92	0.3340553502
93	0.3330424919
94	0.3306886046
95	0.3271409002
96	0.3253034148
97	0.3239850644
98	0.3215336452
99	0.3174153352
100	0.315058181
101	0.3124222362
102	0.3096824035
103	0.3081671861
104	0.3049910217
105	0.3012574813
106	0.2987377016
107	0.2957949677
108	0.2927728663
109	0.2906630296
110	0.2877251503
111	0.28548164
112	0.2824586727
113	0.2790972445
114	0.2759568349
115	0.2743125415
116	0.2724375984
117	0.2695166198
118	0.2674915374
119	0.2660325306
120	0.2644131141
121	0.2627643692
122	0.2599195322
123	0.2576190062
124	0.2564537636
125	0.2537144956
126	0.2518885834
127	0.249510659
128	0.2482660128
129	0.2455956577
130	0.2424803562
131	0.2410342237
132	0.2390384922
133	0.2371985342
134	0.2349994625
135	0.2321060545
136	0.2297474029
137	0.228190584
138	0.2249468947
139	0.222943612
140	0.2214039573
141	0.2195204422
142	0.2173552313
143	0.2156931179
144	0.21411313
145	0.2126586568
146	0.2105160518
147	0.2093252999
148	0.2084104801
149	0.2058040232
150	0.204376681
151	0.203164906
152	0.2020401861
153	0.2018174503
154	0.1997355448
155	0.1992576311
156	0.1979798426
157	0.1955880779
158	0.1942992339
159	0.1913070413
160	0.1901104502
161	0.1894620018
162	0.1877114245
163	0.1863582488
164	0.1851486552
165	0.1835812034
166	0.1827677038
167	0.1821626522
168	0.1807608433
169	0.1795508702
170	0.1784679684
171	0.177393301
172	0.1755019415
173	0.1740819712
174	0.1731548868
175	0.1715848534
176	0.1705845372
177	0.1697801149
178	0.1680087941
179	0.1668788015
180	0.1658440934
181	0.1643144982
182	0.1623664025
183	0.1605592741
184	0.1599299831
185	0.1575713449
186	0.1571411117
187	0.155770974
188	0.155105475
189	0.1537168767
190	0.152726016
191	0.1513876992
192	0.1499003075
193	0.1496322737
194	0.1482932613
195	0.1468216472
196	0.1463191093
197	0.1453296762
198	0.1439673821
199	0.1427671835
