iter	Passed	Remaining
0	2	475
1	4	463
2	6	407
3	7	375
4	9	373
5	11	364
6	12	352
7	14	342
8	15	335
9	17	334
10	19	342
11	21	337
12	22	330
13	25	332
14	28	353
15	30	347
16	31	340
17	33	336
18	34	332
19	38	346
20	41	350
21	42	347
22	44	342
23	47	351
24	49	347
25	51	344
26	53	339
27	56	348
28	58	345
29	61	348
30	63	345
31	66	350
32	68	348
33	71	348
34	75	354
35	79	363
36	81	359
37	85	364
38	89	368
39	92	369
40	95	371
41	98	369
42	99	364
43	101	361
44	104	360
45	106	356
46	108	354
47	110	350
48	112	348
49	115	345
50	117	342
51	119	338
52	122	339
53	124	335
54	126	332
55	127	328
56	129	325
57	133	326
58	135	322
59	137	320
60	141	321
61	143	319
62	146	318
63	148	315
64	151	314
65	153	312
66	155	309
67	158	306
68	161	306
69	163	304
70	165	301
71	168	299
72	172	299
73	175	298
74	177	296
75	181	295
76	184	294
77	187	292
78	189	290
79	192	288
80	194	286
81	197	284
82	200	283
83	203	280
84	205	278
85	207	275
86	211	274
87	213	271
88	216	269
89	219	267
90	222	266
91	224	263
92	226	260
93	230	259
94	232	257
95	235	255
96	237	252
97	241	251
98	244	248
99	247	247
100	250	245
101	253	243
102	255	240
103	258	238
104	260	235
105	262	232
106	265	230
107	267	228
108	270	225
109	273	224
110	277	222
111	282	221
112	285	219
113	288	217
114	291	215
115	293	212
116	294	209
117	296	206
118	301	205
119	303	202
120	305	199
121	309	197
122	311	194
123	313	192
124	315	189
125	319	187
126	321	184
127	322	181
128	325	179
129	328	176
130	330	174
131	332	171
132	335	168
133	338	166
134	341	164
135	344	162
136	347	159
137	350	157
138	352	154
139	356	152
140	358	149
141	361	147
142	363	145
143	367	142
144	369	140
145	372	137
146	375	135
147	379	133
148	381	130
149	384	128
150	386	125
151	389	122
152	391	120
153	394	117
154	398	115
155	400	112
156	402	110
157	404	107
158	408	105
159	411	102
160	413	100
161	415	97
162	418	95
163	422	92
164	425	90
165	429	87
166	433	85
167	436	83
168	439	80
169	442	78
170	445	75
171	448	73
172	452	70
173	455	68
174	459	65
175	462	63
176	466	60
177	469	57
178	472	55
179	474	52
180	478	50
181	482	47
182	484	45
183	487	42
184	490	39
185	493	37
186	496	34
187	498	31
188	504	29
189	508	26
190	512	24
191	516	21
192	519	18
193	525	16
194	528	13
195	530	10
196	533	8
197	535	5
198	537	2
199	539	0
