Strategy,Total Return (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio,VaR 95% (%),Rachev Ratio,Max Drawdown (%)
Equally Weighted,-88.48534861445711,-59.9277924321334,69.31215765635687,-0.8646072270502634,-7.751884988803806,0.8014090433942594,-91.44859812939785
Classical Markowitz,-61.561648349893225,-30.582695996707344,36.13131204757263,-0.8464319246541712,-3.609219164060632,0.7734399029015708,-69.49937745931352
Glasso Markowitz,-61.561648349893225,-30.582695996707344,36.13131204757263,-0.8464319246541712,-3.609219164060632,0.7734399029015708,-69.49937745931352
Network Markowitz (γ=0),-67.55550966865195,-37.545006883472375,34.9990160886816,-1.0727446391161302,-3.188699732159467,0.7486987813498323,-72.30353535759868
Network Markowitz (γ=0.05),-62.057187451161575,-31.848147485857947,33.787783753525964,-0.9425935633477114,-2.843300765887392,0.7833901175958512,-66.58478918943554
Network Markowitz (γ=0.15),-54.31717624007351,-24.426418724942973,34.32181498276319,-0.7116878503427106,-2.7887012968471434,0.850686013088295,-60.86213382236413
Network Markowitz (γ=1.0),-48.16170344581301,-20.14686980864708,32.881311473567806,-0.6127149102566204,-2.7660271249621187,0.8831274546585759,-55.968303494983886
Graph Diversification (θ=0.4),-71.87189287997452,-32.853639760309456,57.526163820142415,-0.5711077808530309,-5.842366323039186,0.9386690368720335,-83.00714994036518
Graph Diversification (θ=0.5),-64.6577398120733,-22.48381228477771,60.007146516249406,-0.3746855764702841,-5.916936127365126,0.9521652153325625,-84.75909142083322
Graph Diversification (θ=0.6),-81.71440833236397,-48.29856557031366,59.614611812058385,-0.8101799894727185,-6.49112624888825,0.8301338168946512,-84.17797240061337
