Strategy,Total Return (%),Annual Return (%),Annual Volatility (%),Sharpe Ratio,VaR 95% (%),Rachev Ratio,Max Drawdown (%)
Equally Weighted,-88.48534861445711,-59.9277924321334,69.31215765635687,-0.8646072270502634,-7.751884988803806,0.8014090433942594,-91.44859812939785
Classical Markowitz,-61.561648349893225,-30.582695996707344,36.13131204757263,-0.8464319246541712,-3.609219164060632,0.7734399029015708,-69.49937745931352
Glasso Markowitz,-61.561648349893225,-30.582695996707344,36.13131204757263,-0.8464319246541712,-3.609219164060632,0.7734399029015708,-69.49937745931352
Network Markowitz (γ=0),-67.55550966865195,-37.545006883472375,34.9990160886816,-1.0727446391161302,-3.188699732159467,0.7486987813498323,-72.30353535759868
Network Markowitz (γ=0.05),-62.057187451161575,-31.848147485857947,33.787783753525964,-0.9425935633477114,-2.843300765887392,0.7833901175958512,-66.58478918943554
Network Markowitz (γ=0.15),-54.31717624007351,-24.426418724942973,34.32181498276319,-0.7116878503427106,-2.7887012968471434,0.850686013088295,-60.86213382236413
Network Markowitz (γ=1.0),-48.16170344581301,-20.14686980864708,32.881311473567806,-0.6127149102566204,-2.7660271249621187,0.8831274546585759,-55.968303494983886
Graph Diversification (θ=0.4),-72.29320481541816,-33.93238858499341,56.67396283223868,-0.5987297674143082,-5.842366323039186,0.9328937922640584,-83.72396684345578
Graph Diversification (θ=0.5),-71.50475897029392,-31.634951014164,58.7047906405897,-0.5388819322743814,-5.916936127365126,0.9170808331534619,-86.02606640045445
Graph Diversification (θ=0.6),-79.99041891246611,-44.759845995728945,59.644172451878866,-0.750447934068351,-6.485182379995708,0.8271974156351198,-84.06099250811306
GNN Graph Diversification (30 epochs),-60.19751796669558,-13.816353575404495,66.66210180116877,-0.20725949530685597,-6.490159400097081,1.0285056426175256,-79.10815146804919
GNN Graph Diversification (50 epochs),-29.053524859557655,4.867197462374796,60.76482787537096,0.08009892618074141,-5.793771827162057,1.1329743546453899,-65.91668470921354
