Date,NW (Gamma=1.0),NW (Gamma=0.0),RL-Net (Defensive),RL-Net (Total Return)
2024-02-01,1.0086369622406248,1.0080883093217454,1.0080883093217454,1.0086304706968099
2024-02-02,1.011605160685312,1.0109845603654526,1.0109845603654526,1.011598782372917
2024-02-03,1.013592275670546,1.012942591430977,1.012942591430977,1.0135880551188032
2024-02-04,1.016800696934971,1.0161242799528554,1.0161242799528554,1.0167663352074199
2024-02-05,1.0155479896684037,1.0142102682471745,1.0142102682471745,1.0155228990956222
2024-02-06,1.0224974544160057,1.0205664180625063,1.0205664180625063,1.0224748846010419
2024-02-07,1.0342511933124896,1.0318354925521407,1.0318354925521407,1.0342257957334988
2024-02-08,1.0446985013708423,1.0419558821227957,1.0419558821227957,1.0446238265361958
2024-02-09,1.0650817954346634,1.0623049229292458,1.0623049229292458,1.0648384753733708
2024-02-10,1.0651716320240474,1.0620045606330821,1.0620045606330821,1.0649541628682615
2024-02-11,1.0801231237474205,1.0749834882000633,1.0749834882000633,1.0796909837192228
2024-02-12,1.1032990945211305,1.0977549833867206,1.0977549833867206,1.1026369840704582
2024-02-13,1.0871665525235048,1.0811625465287065,1.0811625465287065,1.0866802842513719
2024-02-14,1.1165808285192207,1.1107399490126888,1.1107399490126888,1.1158583133002489
2024-02-15,1.1306603169498346,1.125680208037665,1.125680208037665,1.1299726136454837
2024-02-16,1.1363410114634185,1.1301901659346334,1.1301901659346334,1.1356695750223347
2024-02-17,1.1276906024742135,1.1201308547005862,1.1201308547005862,1.1271889330775973
2024-02-18,1.136895802452515,1.129706595804855,1.129706595804855,1.1362144365956575
2024-02-19,1.1502163663569138,1.141061403474725,1.141061403474725,1.1494116107572712
2024-02-20,1.1520759971530763,1.1430105968476754,1.1430105968476754,1.1513489247859412
2024-02-21,1.146322164699683,1.1343974164254376,1.1343974164254376,1.1458019908475956
2024-02-22,1.143306748537962,1.1326131073738532,1.1326131073738532,1.1428051214345836
2024-02-23,1.1419361431851554,1.1310043642041825,1.1310043642041825,1.1413969406170341
2024-02-24,1.155749451587315,1.1448769269430479,1.1448769269430479,1.1551231281964178
2024-02-25,1.161804203979661,1.1502724098759598,1.1502724098759598,1.1611520146485252
2024-02-26,1.189183268852976,1.1761740598795596,1.1761740598795596,1.1884367998158398
2024-02-27,1.2218257575365408,1.210139919727053,1.210139919727053,1.2208541469328962
2024-02-28,1.246350531637542,1.2301327023336028,1.2301327023336028,1.245293970400946
2024-02-29,1.2524481260095448,1.2364310059783452,1.2364310059783452,1.2512715257262912
2024-03-01,1.2909426568306634,1.2758311922932413,1.2758311922932413,1.289509225397724
2024-03-02,1.410658764874734,1.3932311516951448,1.3932311516951448,1.407806353688428
2024-03-03,1.3887603481000925,1.3709785373486745,1.3709785373486745,1.386164018943491
