Date,RL-Net (Defensive),RL-Net (Total Return)
2024-05-01,-0.09619098901748657,-0.016812920570373535
2024-05-02,-0.09619098901748657,-0.016812920570373535
2024-05-03,-0.09619098901748657,-0.016812920570373535
2024-05-04,-0.09619098901748657,-0.016812920570373535
2024-05-05,-0.09619098901748657,-0.016812920570373535
2024-05-06,-0.09619098901748657,-0.016812920570373535
2024-05-07,-0.09619098901748657,-0.016812920570373535
2024-05-08,-0.09610108286142349,-0.016505230218172073
2024-05-09,-0.09610108286142349,-0.016505230218172073
2024-05-10,-0.09610108286142349,-0.016505230218172073
2024-05-11,-0.09610108286142349,-0.016505230218172073
2024-05-12,-0.09610108286142349,-0.016505230218172073
2024-05-13,-0.09610108286142349,-0.016505230218172073
2024-05-14,-0.09610108286142349,-0.016505230218172073
2024-05-15,-0.09531307965517044,-0.016995035111904144
2024-05-16,-0.09531307965517044,-0.016995035111904144
2024-05-17,-0.09531307965517044,-0.016995035111904144
2024-05-18,-0.09531307965517044,-0.016995035111904144
2024-05-19,-0.09531307965517044,-0.016995035111904144
2024-05-20,-0.09531307965517044,-0.016995035111904144
2024-05-21,-0.09531307965517044,-0.016995035111904144
2024-05-22,-0.09706158190965652,-0.015785180032253265
2024-05-23,-0.09706158190965652,-0.015785180032253265
2024-05-24,-0.09706158190965652,-0.015785180032253265
2024-05-25,-0.09706158190965652,-0.015785180032253265
2024-05-26,-0.09706158190965652,-0.015785180032253265
2024-05-27,-0.09706158190965652,-0.015785180032253265
2024-05-28,-0.09706158190965652,-0.015785180032253265
2024-05-29,-0.09663673490285873,-0.016242634505033493
2024-05-30,-0.09663673490285873,-0.016242634505033493
2024-05-31,-0.09663673490285873,-0.016242634505033493
2024-06-01,-0.09663673490285873,-0.016242634505033493
2024-06-02,-0.09663673490285873,-0.016242634505033493
2024-06-03,-0.09663673490285873,-0.016242634505033493
2024-06-04,-0.09663673490285873,-0.016242634505033493
2024-06-05,-0.09685968607664108,-0.0160171277821064
2024-06-06,-0.09685968607664108,-0.0160171277821064
2024-06-07,-0.09685968607664108,-0.0160171277821064
2024-06-08,-0.09685968607664108,-0.0160171277821064
2024-06-09,-0.09685968607664108,-0.0160171277821064
2024-06-10,-0.09685968607664108,-0.0160171277821064
2024-06-11,-0.09685968607664108,-0.0160171277821064
2024-06-12,-0.09601248055696487,-0.016947008669376373
2024-06-13,-0.09601248055696487,-0.016947008669376373
2024-06-14,-0.09601248055696487,-0.016947008669376373
