,Equal Weight,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Excess NW),SAC-Net (Sharpe Incr)
2019-04-02,1.1639118077204258,1.11845305714395,1.1506353287895885,1.1338238931902982,1.160041979768395,1.1506353323379583,1.1506352606423318
2019-04-03,1.1979510891629135,1.091273430383235,1.1743870442888444,1.137513046685837,1.1819754653452004,1.1743870586326446,1.1743868996273839
2019-04-04,1.181067077309792,1.086652213797392,1.1591125219330256,1.1209701717552436,1.16997786847908,1.1591125354730774,1.1591123745153626
2019-04-05,1.2324718703469375,1.133009130688439,1.2116311727533677,1.1736676579336733,1.1967354113762103,1.2116311839684366,1.2116310337512712
2019-04-06,1.2367600186338532,1.1195243103422956,1.2104631181095216,1.1658514094514776,1.202220084038673,1.21046313729914,1.210462952118089
2019-04-07,1.2738109512108,1.1517469679179502,1.2482332665041265,1.205478628259526,1.2348195922160992,1.2482332848142976,1.2482331099682595
2019-04-08,1.2769967682967556,1.1577618253223256,1.2510978737601637,1.2146226648163425,1.2562171295946405,1.251097900609469,1.2510977436702173
2019-04-09,1.248716296837003,1.1331444028396418,1.21636615098288,1.1789353710068875,1.2359126072341307,1.2163661427789214,1.2147580196497798
2019-04-10,1.2678307086803329,1.141355430493803,1.2225457509007456,1.1853516079640762,1.263988590376212,1.222545707252999,1.2196525149755881
2019-04-11,1.1669990733475475,1.0555042436441973,1.1250171728890916,1.0953211238967646,1.2006936977561065,1.1250171764497297,1.1225540448576012
2019-04-12,1.171815289320603,1.0581944464969397,1.126798822930093,1.096918501941336,1.2066182364445586,1.1267988201050227,1.123674346498474
2019-04-13,1.170224484488096,1.0601780561194971,1.1303849530882586,1.1012616225609215,1.2082878562466262,1.1303849795201135,1.1278560731216836
2019-04-14,1.2021668888276262,1.091416082724445,1.1566935208545925,1.1229976911421669,1.2250359555064034,1.1566934985890276,1.1526618146730236
2019-04-15,1.185044869250801,1.0652455641430996,1.1392353744285224,1.1088807123572548,1.2009496836010112,1.1392353841956484,1.1359999966196417
2019-04-16,1.2162508092823994,1.0924674741438491,1.16767148889192,1.1402683705018666,1.2402248329482506,1.1676715030143225,1.1643553518559717
