,Feature,Δγ (+1 std),Δγ (-1 std),|Δγ| avg,Direction
1,Recent Volatility×100,1.57373,1.61487,1.5943,↑
2,Ret Medium×100,-1.65751,1.05064,1.35407,↓
3,Momentum×100,-1.24005,0.98548,1.11276,↓
4,Vol Short×100,-0.50723,1.51233,1.00978,↓
5,Ret Short×100,-0.70732,-1.09381,0.90057,↓
6,Short-term Return×100,-0.11154,-1.43633,0.77393,↓
7,Vol Long×100,0.5161,-0.4949,0.5055,↑
8,Momentum Accel×100,0.32443,-0.40449,0.36446,↑
9,Vol Medium×100,-0.01287,0.51894,0.26591,↓
10,Ret Long×100,0.17577,-0.15693,0.16635,↑
11,MST Distance×0.1,0.05382,-0.06088,0.05735,↑
12,Vol Ratio (S/L),-0.0442,0.03326,0.03873,↓
13,Correlation Density,-0.04028,0.01381,0.02704,↓
14,Centrality Std×10,0.00742,-0.00759,0.00751,↑
15,Centrality Mean×10,0.00385,-0.00385,0.00385,↑
16,Max Centrality,0.00045,-0.00045,0.00045,↑
17,Portfolio Value-1,0.0,0.0,0.0,↓
