,Feature,Δγ (+1 std),Δγ (-1 std),|Δγ| avg,Is Regime?
10,Trend×100,-0.27287,0.61487,0.44387,[NEW]
5,Short Return×100,0.17595,-0.41204,0.294,
6,Momentum×100,-0.28351,0.1329,0.2082,
7,Recent Vol×100,-0.01158,-0.22542,0.1185,
11,Drawdown×10,-0.17396,0.00732,0.09064,[NEW]
9,Vol Ratio,0.02286,-0.01748,0.02017,[NEW]
2,MST Distance×0.1,0.0209,-0.00533,0.01312,
4,Corr Density,0.00694,-0.01479,0.01087,
0,Centrality Std×10,0.00157,-0.00157,0.00157,
1,Centrality Mean×10,-0.00138,0.00138,0.00138,
3,Max Centrality,-0.00031,0.00031,0.00031,
8,Portfolio PnL,0.0,0.0,0.0,
