,Feature,Mean |SHAP|,Mean SHAP,Std SHAP,Direction
1,Vol Short×100,0.7422698164690097,-0.07091255221888774,0.8762396840071878,↓ Gamma turun
2,Short-term Return×100,0.7415362447233576,0.4594275609604066,1.0268072074884538,↑ Gamma naik
3,Momentum×100,0.4665394014087216,0.10823321770661565,0.6883249616078579,↑ Gamma naik
4,Recent Volatility×100,0.39216364715940943,-0.0016638740564874422,0.5998845262704302,↓ Gamma turun
5,Ret Short×100,0.36139999133231043,0.12809785870630688,0.5272523720699578,↑ Gamma naik
6,Vol Long×100,0.3555382413404752,0.17695435806915033,0.45604649901674027,↑ Gamma naik
7,Vol Medium×100,0.27790901624618514,-0.04737223156058724,0.36836544388958575,↓ Gamma turun
8,Momentum Accel×100,0.2410281245561617,0.03739752375663634,0.42721519927092877,↑ Gamma naik
9,Ret Medium×100,0.20232389152422792,-0.13406863697410057,0.25408580657711655,↓ Gamma turun
10,Ret Long×100,0.20110025851648292,0.05801667340262629,0.328683208457102,↑ Gamma naik
11,Correlation Density,0.08218802904359945,0.03374231360336589,0.13402704426169113,↑ Gamma naik
12,Vol Ratio (S/L),0.07247682751921329,-0.0028576175838658617,0.13170597566348752,↓ Gamma turun
13,Centrality Std×10,0.06880969517928488,-0.015882431889128846,0.1468890811538219,↓ Gamma turun
14,MST Distance×0.1,0.0591637000133559,0.02767466296118218,0.10641598587786678,↑ Gamma naik
15,Max Centrality,0.04945279657980394,0.006737113440063864,0.10718463749709146,↑ Gamma naik
16,Centrality Mean×10,0.040165360805556466,-0.002735652591027091,0.08947376149718095,↓ Gamma turun
17,Portfolio Value-1,0.0,0.0,0.0,↓ Gamma turun
